Service_Category,Service_Type,Location_Name,Description,Website,Service_Phone,Location_Address_1,Location_Suburb,Location_State,Location_Postcode,Latitude,Longitude
Health Services,Mental Health Services,Changes Child and Family Psychologist- Home Visits Brisbane and Ipswich,Child and Family Psychologists and Psychology serv,http://www.changespsychology.com.au,(07) 3062 4535,702 Example Street,NORTHGATE,QLD,4013,-27.391,153.064
Health Services,Mental Health Services,Changes Psychology North Brisbane,Child and Family Psychologists and Psychology serv,http://changespsychology.com.au,(07) 3103 3002,703 Example Street,THE GAP,QLD,4061,-27.444,152.952
Health Services,Mental Health Services,Child and Youth Mental Health Service - Greenslopes,The CYMHS Eating Disorders Team offers a free and ,http://www.kidsinmind.org.au,(07) 3397 9077,704 Example Street,GREENSLOPES,QLD,4120,-27.508,153.054
Health Services,Mental Health Services,Child and Youth Mental Health Service - South Brisbane,Child and Youth Mental Health Service - CHQ HHS Pr,http://www.childrens.health.qld.gov.au/mental-health/our-services/,(07) 3310 9444,705 Example Street,SOUTH BRISBANE,QLD,4101,-27.48,153.022
Health Services,Mental Health Services,"Child and Youth Mental Health Service (North-West clinic, Keperra)",Community CYMHS clinics provide comprehensive asse,http://www.childrens.health.qld.gov.au/mental-health/,(07) 3335 8888,706 Example Street,KEPERRA,QLD,4054,-27.413,152.958
Health Services,Mental Health Services,Childs Play Qld,Psychological counselling for children and adolesc,http://www.childsplayqld.com.au,(07) 3309 7011,707 Example Street,MORNINGSIDE,QLD,4170,-27.468,153.072
Health Services,Mental Health Services,Communify Queensland Inc,Communify Qld provides a range of individual and f,http://www.communify.org.au,(07) 3510 2700,708 Example Street,BARDON,QLD,4065,-27.456,152.986
Health Services,Mental Health Services,Dynamic Self Psychology Service,Psychological therapy aims to uncover the factors ,http://www.dynamicself.com.au,0490 468 984,709 Example Street,SPRING HILL,QLD,4000,-27.464,153.025
Health Services,Mental Health Services,EDARC,"Providing information, short term support and refe",http://www.eda.org.au,(07) 3394 3661,710 Example Street,GREENSLOPES,QLD,4120,-27.507,153.051
Health Services,Mental Health Services,Evolve Mindfulness Clinic,"Evolve Mindfulness Clinic is a psychology, counsel",http://www.evolvemindfully.com.au,0402 169 489,711 Example Street,CARINA,QLD,4152,-27.495,153.088
Health Services,Mental Health Services,Excel Psychology,BULK BILLING - Counselling and Psychology Services,http://www.excelpsychology.com.au,(07) 3868 2221,712 Example Street,HAMILTON,QLD,4007,-27.438,153.064
Health Services,Mental Health Services,Facing the Fear,Facing the Fear is a low cost group therapy progra,http://www.facingthefear.net,(07) 3735 3348,713 Example Street,MT GRAVATT,QLD,4122,-27.537,153.078
Health Services,Mental Health Services,FRIENDS Resilience,"Research and evidence based, The FRIENDS Programs ",http://www.friendsresilience.org/,(07) 3391 6866,714 Example Street,WEST END,QLD,4101,-27.477,153.013
Health Services,Mental Health Services,FSG Australia - Wynnum,FSG Australia is a for-purpose community organisat,http://www.fsg.org.au,(07) 3213 7100,715 Example Street,WYNNUM,QLD,4178,-27.444,153.173
Health Services,Mental Health Services,Group 61,Break the isolation of Mental Illness through frie,http://group61.org/,(07) 3254 4000,716 Example Street,NEW FARM,QLD,4005,-27.469,153.049
Health Services,Mental Health Services,Grow Qld,A community of people working towards mental healt,http://www.grow.org.au,(07) 3394 4344,717 Example Street,HOLLAND PARK,QLD,4121,-27.52,153.063
Health Services,Mental Health Services,Hardwick Psychological Services,"Hardwick Psychological Services offers experience,",https://www.hardwickpsychologicalservices.com.au/,(07) 3510 2104,718 Example Street,ASHGROVE,QLD,4060,-27.446,152.993
Health Services,Mental Health Services,Harmony Place - Yeronga,Harmony Place provides mental health and wellbeing,http://www.harmonyplace.org.au,(07) 3848 1600,719 Example Street,YERONGA,QLD,4104,-27.517,153.016
Health Services,Mental Health Services,Headspace - Inala,Headspace - Inala,http://www.headspace.org.au/headspace-centres/headspace-inala,(07) 3727 5000,720 Example Street,INALA,QLD,4077,-27.598,152.974
Health Services,Mental Health Services,headspace Nundah,Our friendly staff at  headspace  Nundah can assis,http://headspace.org.au/nundah,(07) 3370 3900,721 Example Street,NUNDAH,QLD,4012,-27.401,153.059
Health Services,Mental Health Services,Heartspace Artspace & Counselling,Heartspace Artspace and Counselling provides couns,http://heartspaceartspace.com.au/,0438 163 255,722 Example Street,WOOLLOONGABBA,QLD,4102,-27.487,153.033
Health Services,Mental Health Services,Inala Community Health Centre,"Alcohol, Tobacco and Other DrugsBreastScreenChild ",http://www.health.qld.gov.au/services/metrosouth/inala-chc.asp,(07) 3275 5333,723 Example Street,INALA,QLD,4077,-27.6,152.971
Health Services,Mental Health Services,Integrate Place,Mental Health Services,http://www.integrateplace.com.au,(07) 3396 3128,724 Example Street,WYNNUM,QLD,4178,-27.443,153.177
Health Services,Mental Health Services,Integrated Mental Health - West Moreton District,"Service Method: Counselling, Direct Services, Adul",,(07) 3817 2484,725 Example Street,IPSWICH,QLD,4305,-27.494,153.034
Health Services,Mental Health Services,Julie King Psychologist,Perinatal & Infant Psychologist; Child & adolescen,http://www.jkps.com.au,0420 357 381,726 Example Street,MOUNT GRAVATT,QLD,4122,-27.517,153.069
Health Services,Mental Health Services,Just Better Care Brisbane South,In Home Dementia Support Just Better Care's experi,http://www.justbettercare.com/,(07) 3272 9555,727 Example Street,SALISBURY,QLD,4107,-27.544,153.03
Health Services,Mental Health Services,Kyabra Community Association Inc,We aim to offer opportunities for people to explor,http://www.kyabra.org,(07) 3373 9499,728 Example Street,RUNCORN,QLD,4113,-27.609,153.069
Health Services,Mental Health Services,Like Mental Health,"Counselling, psychotherapy, professional supervisi",http://www.likementalhealth.com.au,0434 049 268,729 Example Street,INDOOROOPILLY,QLD,4068,-27.501,152.973
Health Services,Mental Health Services,Mater Respite Service - South Brisbane,Brokeage Model care provided overnight Monday to F,http://www.materrespite@mater.org.au,(07) 3163 8692,730 Example Street,SOUTH BRISBANE,QLD,4101,-27.487,153.029
Health Services,Mental Health Services,MDA - Headquarters,A joint initiative by MDA and World Wellness Group,http://www.mdaltd.org.au/,(07) 3337 5400,731 Example Street,WOOLLOONGABBA,QLD,4102,-27.494,153.033
Health Services,Mental Health Services,Mental Health Association of Australia,"Promotes awareness, acceptance and action on menta",http://www.hoa.mentalhealth.org.au/,1300 729 686,732 Example Street,ANNERLEY,QLD,4103,-27.509,153.032
Health Services,Mental Health Services,Mental Health Services - Brisbane,Ozcare provides emotional well-being and mental he,http://www.ozcare.org.au,1800 692 273,733 Example Street,CHERMSIDE,QLD,4032,-27.389,153.032
Health Services,Mental Health Services,Mental Illness Fellowship Qld (MIFQ) - Herston,We are a specialist provider of programs and servi,http://www.mifq.org.au,(07) 3358 4424,734 Example Street,HERSTON,QLD,4006,-27.45,153.026
Health Services,Mental Health Services,MindWise Family Intervention Center - Wynnum,Psychological intervention for adults and children,http://mindwisepsychology.net,0416 969 692,735 Example Street,WYNNUM,QLD,,-27.443,153.173
Health Services,Mental Health Services,Morningside Counselling Services,Provides Counselling and Psychological services fo,,(07) 3399 4100,736 Example Street,MORNINGSIDE,QLD,4170,-27.466,153.08
Health Services,Mental Health Services,Nextt Health QLD - Eight Mile Plains,"Domestic assistance, respite, personal care, socia",http://www.nextthealth.com.au,(07) 3331 4020,737 Example Street,EIGHT MILE PLAINS,QLD,4113,-27.576,153.097
Health Services,Mental Health Services,North Brisbane Partners in Recovery,"At North Brisbane Partners in Recovery, we work al",http://www.northbrisbane.pirinitiative.com.au/contact/,1800 752 235,738 Example Street,,,,-27.47,153.023
Health Services,Mental Health Services,Office of the Public Guardian,Involuntary guardianship agency for persons identi,http://www.publicguardian.qld.gov.au,(07) 3234 0870,739 Example Street,BRISBANE CITY,QLD,4000,-27.467,153.021
Health Services,Mental Health Services,Open Minds - Mount Gravatt,Open Minds works with people to enhance mental hea,http://www.openminds.org.au,(07) 3900 3444,740 Example Street,MOUNT GRAVATT,QLD,4122,-27.537,153.079
Health Services,Mental Health Services,Open Minds - Woolloongabba,Open Minds is a not for profit community service p,http://www.openminds.org.au,(07) 3896 4222,741 Example Street,WOOLLOONGABBA,QLD,4102,-27.489,153.027
Health Services,Mental Health Services,Prince Charles Hospital - Metro North Mental Health Service,The service works in collaboration with primary he,,1800 112 403,742 Example Street,CHERMSIDE,QLD,4032,-27.392,153.028
Health Services,Mental Health Services,Princess Alexandra Hospital (PAH),Outpatient clinicsYes Service linesSurgeryMedicine,http://www.health.qld.gov.au/pahospital/default.asp,(07) 3176 2111,743 Example Street,WOOLLOONGABBA,QLD,4102,-27.497,153.033
Health Services,Mental Health Services,Qld Transcultural Mental Health Centre,The Queensland Transcultural Mental Health Centre ,http://www.health.qld.gov.au/metrosouthmentalhealth/qtmhc/,(07) 3167 8333,744 Example Street,MACGREGOR,QLD,4109,-27.561,153.068
Health Services,Mental Health Services,Q-Psych,Q-Psych is a multi-service psychology centre cater,http://www.qpsych.com.au,(07) 3356 4242,745 Example Street,GRANGE,QLD,4051,-27.425,153.014
Health Services,Mental Health Services,Queensland Forensic Mental Health Service,Queensland Forensic Mental Health Service has resp,http://www.health.qld.gov.au/rbwh/services/mh-services.asp#cfmhs,(07) 3837 5820,746 Example Street,BRISBANE,QLD,4001,-27.461,153.024
Health Services,Mental Health Services,Queensland Health Victim Support Service - Brisbane,The Queensland Health Victim Support Service provi,http://www.health.qld.gov.au/qhvss,,747 Example Street,ASHGROVE,QLD,4060,-27.45,152.977
Health Services,Mental Health Services,Queensland Injectors Health Network - Bowen Hills (Treehouse Program),Are you or your children affected by your drug use,http://www.quihn.org,(07) 3620 8111,748 Example Street,BOWEN HILLS,QLD,4006,-27.448,153.035
Health Services,Mental Health Services,Queensland Psychology Centre Pty Ltd - Sunnybank Hills,Provision of psychological and counselling service,http://www.qpc.net.au,(07) 3323 1709,749 Example Street,SUNNYBANK HILLS,QLD,4109,-27.586,153.058
Health Services,Mental Health Services,Queensland Voice for Mental Health Inc.,Queensland Voice is the peak body for consumers an,http://www.qldvoice.org.au,(07) 3252 3999,750 Example Street,BOWEN HILLS,QLD,4006,-27.448,153.034
Health Services,Mental Health Services,Richmond Fellowship Queensland,Richmond Fellowship Queensland are a not for profi,http://www.rfq.com.au,(07) 3363 2555,751 Example Street,ANNERLEY,QLD,4103,-27.511,153.031
Health Services,Mental Health Services,Royal Brisbane Hospital - Homeless Health Outreach Team (HHOT),"The team visits clients on the streets, in parks, ",http://www.health.qld.gov.au/rbwh/services/mh-services.asp,,752 Example Street,,,,-27.47,153.023
Health Services,Mental Health Services,The Brook Red Centre,The Brook RED Centre is a contemporary & innovativ,http://www.brookred.org.au,(07) 3343 9282,753 Example Street,UPPER MOUNT GRAVATT,QLD,4122,-27.556,153.084
Health Services,Mental Health Services,The Brook RED Centre - Brook St,Brook RED is a peer-operated community supporting ,http://www.brookred.org.au/,(07) 3846 4209,754 Example Street,SOUTH BRISBANE,QLD,4101,-27.484,153.021
Health Services,Mental Health Services,The Hearing Voices Group - Mt Gravatt,Please contact for more information.,,(07) 3343 9282,755 Example Street,UPPER MOUNT GRAVATT,QLD,4122,-27.556,153.084
Health Services,Mental Health Services,THE TERTIARY PLACE INC - Murarrie,Day programs for adults with disabilities,http://www.thetertiaryplace.com.au,(07) 3890 0411,756 Example Street,MURARRIE,QLD,4172,-27.46,153.098
Health Services,Mental Health Services,Vision Psychology Clinic,Brisbane psychologist and counselling centre: marr,http://www.visionpsychology.com,1800 877 924,757 Example Street,MT GRAVATT,QLD,4122,-27.537,153.078
Health Services,Mental Health Services,World Wellness Group - Stones Corner,World Wellness Group - Stones Corner,http://www.worldwellnessgroup.org.au/,(07) 3333 2100,758 Example Street,STONES CORNER,QLD,4120,-27.499,153.045
Health Services,Mental Health Services,yourtime (Brisbane Psychology Specialists),yourtime - Brisbane Psychology Specialists is an A,http://www.accoras.com.au/yourtime/home,(07) 3306 1083,759 Example Street,SALISBURY,QLD,4107,-27.544,153.029
Health Services,Multi-cultural & Refugee Health,Mater Refugee Complex Care Clinic (MRCCC),"Established in 2002, (formerly known as QIRCH and ",http://www.materonline.org.au/services/refugee-services/mater-refugee-complex-care-clinic,(07) 3163 2880,760 Example Street,SOUTH BRISBANE,QLD,4101,-27.484,153.026
Health Services,Multi-cultural & Refugee Health,Queensland Program of Assistance to Survivors of Torture and Trauma (QPASTT),QPASTT provides a range of services to people from,http://www.qpastt.org.au,(07) 3391 6677,761 Example Street,WOOLLOONGABBA,QLD,4102,-27.494,153.034
Health Services,Multi-cultural & Refugee Health,World Wellness Group - Stones Corner,World Wellness Group - Stones Corner,http://www.worldwellnessgroup.org.au/,(07) 3333 2100,762 Example Street,STONES CORNER,QLD,4120,-27.499,153.045
Health Services,Palliative Care,Palliative Care Helpline,Queensland statewide telephone service providing i,http://www.palliativecarehelpline.org.au,1800 772 273,763 Example Street,WINDSOR,QLD,4030,-27.437,153.032
Health Services,"Pregnancy, Maternity & Newborn Health",Australian Breastfeeding Association - New Farm,"Service Method: Advice & Information, Care & Suppo",http://www.breastfeeding.asn.au,(07) 3254 2233,764 Example Street,NEW FARM,QLD,4005,-27.466,153.046
Health Services,"Pregnancy, Maternity & Newborn Health",Pregnancy Counselling Link,Women are faced with many issues during pregnancy ,http://www.pcl.org.au,1800 777 690,765 Example Street,REDHILL,QLD,4059,-27.457,153.01
Health Services,"Pregnancy, Maternity & Newborn Health",Red Nose,Safe Sleeping Public Health Campaign,http://www.rednose.com.au,(07) 3849 7122,766 Example Street,MT GRAVATT,QLD,4122,-27.538,153.083
Health Services,"Pregnancy, Maternity & Newborn Health",Royal Flying Doctor Service of Australia (Queensland Section),Provides Nurse - Midwife and Midwife across variou,https://www.flyingdoctor.org.au,(07) 3860 1100,767 Example Street,BRISBANE AIRPORT,QLD,4008,-27.374,153.123
Health Services,"Pregnancy, Maternity & Newborn Health",Women's Health,"A not for profit health promotion, information and",http://www.womhealth.org.au,(07) 3216 0976,768 Example Street,FORTITUDE VALLEY,QLD,4006,-27.452,153.03
Health Services,Psychiatric Services,Arafmi Queensland Kui Lifestyle Support Agency - New Farm,Kui Lifestyle Support Agency aims to help people w,,(07) 3254 2499,769 Example Street,NEW FARM,QLD,4005,-27.459,153.04
Health Services,Psychiatric Services,Child and Youth Mental Health Acute Response Team (CYMHS ART),The Child and Youth Mental Health Service offers a,,(07) 3068 2555,770 Example Street,SOUTH BRISBANE,QLD,4101,-27.483,153.026
Health Services,Psychiatric Services,Child and Youth Mental Health Service - Inala,The Child and Youth Mental Health Service offers a,,(07) 3372 5577,771 Example Street,INALA,QLD,4077,-27.597,152.972
Health Services,Psychiatric Services,Child and Youth Mental Health Service - Lady Cilento Children's Hospital Inpatient services,The Child and Youth Mental Health Service (CYMHS) ,,(07) 3068 1111,772 Example Street,SOUTH BRISBANE,QLD,4101,-27.483,153.026
Health Services,Psychiatric Services,Child and Youth Mental Health Service - Nundah,The Child and Youth Mental Health Service offers a,,(07) 3146 2693,773 Example Street,NUNDAH,QLD,4012,-27.399,153.064
Health Services,Psychiatric Services,Communify Qld Mental Health Services,Community Mental Health Services utilises an integ,http://www.communify.org.au/service-directory/mental-health-services,(07) 3510 2700,774 Example Street,BARDON,QLD,4065,-27.456,152.986
Health Services,Psychiatric Services,Community Mental Health Service - Fortitude Valley,"The Integrated Mental Health Service, which is the",,(07) 3834 1605,775 Example Street,FORTITUDE VALLEY,QLD,4006,-27.457,153.031
Health Services,Psychiatric Services,Dr Leo Ryan,Provides Physician - Psychiatry across various reg,http://www.drleoryan.com.au/,(07) 3721 8011,776 Example Street,TOOWONG,QLD,4066,-27.478,152.991
Health Services,Psychiatric Services,Early Counselling and Community Outreach Program - Inala,The Early Counselling and Community Outreach Progr,,(07) 3372 5577,777 Example Street,INALA,QLD,4077,-27.597,152.972
Health Services,Psychiatric Services,Emotional Fitness Foundation,The Emotional Fitness Program is a peer support pr,http://cynthiamorton.com/,(07) 3366 0533,778 Example Street,ASHGROVE,QLD,4060,-27.445,152.993
Health Services,Psychiatric Services,Harmony Place - Yeronga,"For telephone support on Friday, call us between 6",http://www.harmonyplace.org.au,(07) 3848 1600,779 Example Street,YERONGA,QLD,4104,-27.517,153.016
Health Services,Psychiatric Services,Institute for Urban Indigenous Health Ltd,Provides Psychology and Psychology - Child & Adole,http://www.iuih.org.au/,(07) 3648 9500,780 Example Street,BOWEN HILLS,QLD,4006,-27.446,153.037
Health Services,Psychiatric Services,Lifestyle Therapies and Training Solutions (LTTS),Provides Psychology across various regions of Quee,,1300 994 854,781 Example Street,ENOGGERA,QLD,4051,-27.418,152.997
Health Services,Psychiatric Services,Mental Health Alcohol Tobacco and Other Drugs Service (MHATODS),MHATODS offers an integrated mental health and dru,,(07) 3310 9444,782 Example Street,SOUTH BRISBANE,QLD,4101,-27.48,153.022
Health Services,Psychiatric Services,Panic Anxiety Disorders Association,The Panic Anxiety Disorders Assoc provides telepho,http://www.anxiety.websyte.com.au/,(07) 3353 4851,783 Example Street,STAFFORD,QLD,4053,-27.409,153.011
Health Services,Psychiatric Services,Stepping Stone Clubhouse Inc,"Stepping Stone is a private non-profit, psychosoci",http://www.steppingstoneclubhouse.org.au,(07) 3847 1058,784 Example Street,COORPAROO,QLD,4151,-27.494,153.055
Health Services,Psychiatric Services,The Prince Charles Hospital,The Acute Care Team is a 24 hour intake/assessment,,(07) 3350 8111,785 Example Street,CHERMSIDE,QLD,4032,-27.392,153.028
Health Services,Psychiatric Services,UQ Psychology Clinic,The University of Queensland Psychology Clinic has,https://clinic.psychology.uq.edu.au/,(07) 3365 6451,786 Example Street,SAINT LUCIA,QLD,4072,-27.495,153.012
Health Services,Psychiatric Services,Vision Psychology Clinic,Brisbane psychologist and counselling centre: marr,http://www.visionpsychology.com,1800 877 924,787 Example Street,MT GRAVATT,QLD,4122,-27.537,153.078
Health Services,Sexual Support Services & Counselling,Brisbane Rape and Incest Survivors Support Centre,BRISSC provides individual face to face and teleph,http://www.brissc.org.au,(07) 3391 2573,788 Example Street,WOOLLOONGABBA,QLD,4102,-27.494,153.035
Health Services,Sexual Support Services & Counselling,Centre for Human Potential (CFHP) Psychology and Coaching,The Centre For Human Potential has psychologists t,http://www.cfhp.com.au/,(07) 3211 1117,789 Example Street,BRISBANE,QLD,4000,-27.467,153.026
Health Services,Sexual Support Services & Counselling,DV Connect - Sexual Assault Helpline,"Sexual assault helpline, counselling ' women, men ",http://www.dvconnect.org,1800 010 120,790 Example Street,,,,-27.471,153.023
Health Services,Sexual Support Services & Counselling,Hope Centre Services,HOPE CENTRE SERVICES,http://www.hopecentreservices.org,(07) 3253 1300,791 Example Street,FORTITUDE VALLEY,QLD,4006,-27.457,153.032
Health Services,Sexual Support Services & Counselling,Indigenous Sexual Health Unit,The Indigenous Sexual Health Units services includ,,(07) 3837 5675,792 Example Street,BRISBANE CITY,QLD,4000,-27.466,153.016
Health Services,Sexual Support Services & Counselling,Integrate Place,Sexual Support Services and Counselling,http://www.integrateplace.com.au,(07) 3396 3128,793 Example Street,WYNNUM,QLD,4178,-27.443,153.177
Health Services,Sexual Support Services & Counselling,Joshua Jordan Counselling,Joshua specializes in helping people in the follow,,0421 035 942,794 Example Street,WAVELL HEIGHTS,QLD,4012,-27.398,153.044
Health Services,Sexual Support Services & Counselling,Kids National Helpline,Kids Helpline is a free 24 hour counselling servic,https://kidshelpline.com.au/kids/,1800 551 800,795 Example Street,,,,-27.469,153.025
Health Services,Sexual Support Services & Counselling,PASH Sexual Healthline,The Sexual Healthline provides information on infe,http://www.health.qld.gov.au/pash,(07) 3176 5881,796 Example Street,WOOLLOONGABBA,QLD,4102,-27.498,153.033
Health Services,Sexual Support Services & Counselling,Queensland Positive People,QPP is a peer-based advocacy organisation which is,http://www.qpp.org.au,(07) 3013 5555,797 Example Street,EAST BRISBANE,QLD,4169,-27.481,153.042
Health Services,Sexual Support Services & Counselling,Respect Inc - Brisbane,Respect Inc - Brisbane,http://www.respectqld.org.au,(07) 3835 1111,798 Example Street,SPRING HILL  BRISBANE,QLD,4000,-27.462,153.028
Health Services,Sexual Support Services & Counselling,Sexual Assault Help Line,The Sexual Assault Help Line is a statewide teleph,,1800 010 120  24Hrs,799 Example Street,HERSTON,QLD,4006,-27.447,153.027
Health Services,Sexual Support Services & Counselling,The Ethnic Communities Council of Queensland - ECCQ,"ECCQ's HIV/AIDS, Hepatitis and Sexual Health progr",http://www.eccq.com.au,(07) 3844 9166,800 Example Street,WEST END,QLD,4101,-27.483,153.011
Health Services,Sexual Support Services & Counselling,The Queensland Fertility Group,The Queensland Fertility Group operates an in vitr,http://www.qfg.com.au,(07) 3833 1000,801 Example Street,BRISBANE,QLD,4001,-27.465,153.023
Health Services,Sexual Support Services & Counselling,True Relationships & Reproductive Health - Windsor,True's Cairns Sexual Assault Service delivers coun,http://www.true.org.au,(07) 3250 0240,802 Example Street,WINDSOR,QLD,4030,-27.434,153.03
Health Services,Sexual Support Services & Counselling,Vision Psychology Clinic,Brisbane psychologist and counselling centre: marr,http://www.visionpsychology.com,1800 877 924,803 Example Street,MT GRAVATT,QLD,4122,-27.537,153.078
Health Services,Sexual Support Services & Counselling,WISI INFO Information for Workers in Sex Industry,"WISI INFO provides information, education and refe",,(07) 3250 0251,804 Example Street,BRISBANE,QLD,4006,-27.452,153.035
Health Services,Sexual Support Services & Counselling,Zig Zag Young Womens Resource Centre,Zig Zag Young Women's Resource Centre operates for,http://www.zigzag.org.au,(07) 3843 1823,805 Example Street,CAMP HILL,QLD,4152,-27.493,153.075
Health Services,Specialist Outpatient Clinics,Heart of Australia  - Queensland,Front-line specialist medical service delivery in ,http://www.heartofaustralia.com/,1800 432 786,806 Example Street,,,,-27.491,152.982
Health Services,Specialist Outpatient Clinics,Hepatitis Queensland,"Hepatis Queensland is a not-for-profit, non-govern",http://www.hepqld.asn.au,1800 437 222,807 Example Street,SOUTH BRISBANE,QLD,4101,-27.474,153.015
Health Services,Specialist Outpatient Clinics,LARF (Lung and Respiratory Friends),Support group for people who have breathing diffic,,(07) 5532 8238,808 Example Street,LUTWYCHE,QLD,4030,-27.423,153.033
Health Services,Specialist Outpatient Clinics,Melanoma Patients Australia - Auchenflower,"Aims to provide information, inspiration and hope ",https://melanomapatients.org.au/,(07) 3721 1770,809 Example Street,AUCHENFLOWER,QLD,4066,-27.478,152.997
Health Services,Specialist Outpatient Clinics,QLD Skin Cancer Clinic,Bulk billing 1st skin checks ,http://qskin.com.au/,(07) 3352 3827,810 Example Street,GRANGE,QLD,4051,-27.425,153.014
Health Services,Specialist Outpatient Clinics,South East Dermatology Stafford,Our practice deals with all diseases of the skin i,http://www.sedermstafford.com.au/,(07) 3856 5007,811 Example Street,STAFFORD,QLD,4053,-27.41,153.019
Health Services,Specialist Outpatient Clinics,Synapse,"Service Method: Advice & Information, Care & Suppo",http://www.synapse.org.au,(07) 3137 7400,812 Example Street,WEST END,QLD,4101,-27.478,153.006
Health Services,Specialist Outpatient Clinics,Vision Australia,Telephone information and referral service on visi,http://www.visionaustralia.org,1300 847 466,813 Example Street,COORPAROO,QLD,4151,-27.494,153.061
Information & Counselling,Aboriginal  Support Services & Counselling,Beyond Blue Ltd,We all have good days and bad days. Then there are,https://www.beyondblue.org.au/,1300 224 636,814 Example Street,BRISBANE,QLD,4000,-27.469,153.025
Information & Counselling,Financial Counselling & Budgeting,Australian Securities & Investments Commission's Indigenous Outreach Program ' Financial Literacy,"Service Method: Advice & Information, Events/ Work",https://www.moneysmart.gov.au/tools-and-resources/information-for/indigenous,1300 365 957,815 Example Street,BRISBANE,QLD,4000,-27.467,153.027
Information & Counselling,Financial Counselling & Budgeting,Australian Securities & Investments Commission's MoneySmart Teaching Resources & Outreach Education Programes,"Service Method: Advice & Information, Events/ Work",https://www.moneysmart.gov.au/teaching,(07) 3867 4700,816 Example Street,BRISBANE,QLD,4000,-27.467,153.027
Information & Counselling,Financial Counselling & Budgeting,Births Death and Marriages,"Records of births, deaths and marriages. We have t",https://www.qld.gov.au/law/births-deaths-marriages-and-divorces/,13 74 68,817 Example Street,BRISBANE CITY,QLD,4000,-27.466,153.024
Information & Counselling,Financial Counselling & Budgeting,Brisbane Youth Service - Centre for Young Families ,"Assistance with budgeting, and planning family fin",http://www.brisyouth.org/what-we-do/centre-for-young-families/,(07) 3620 2400,818 Example Street,GREENSLOPES,QLD,4120,-27.501,153.044
Information & Counselling,Financial Counselling & Budgeting,Brisbane Youth Service - Centre for Young Women Stones Corner,Assistance with budgeting for young women,http://www.brisyouth.org,(07) 3620 2452,819 Example Street,GREENSLOPES,QLD,4120,-27.501,153.044
Information & Counselling,Financial Counselling & Budgeting,Business Aid Centre,Business Aid Centre Pty Ltd (BAC) is a registered ,http://governmentgrantsaustralia.org/,1300 362 755,820 Example Street,BRISBANE,QLD,4000,-27.469,153.029
Information & Counselling,Financial Counselling & Budgeting,Carers Advisory Service,The Carer Advisory Service is a statewide service ,http://www.carersqld.asn.au,1800 242 636,821 Example Street,CAMP HILL,QLD,4152,-27.499,153.081
Information & Counselling,Financial Counselling & Budgeting,Carers Queensland,The No Interest Loan Scheme (NILS') provides inter,http://www.carersqld.asn.au,(07) 3900 8100,822 Example Street,CAMP HILL,QLD,4152,-27.498,153.081
Information & Counselling,Financial Counselling & Budgeting,Carers Queensland: Brisbane North Regional Office ,The No Interest Loan Scheme (NILS') provides inter,http://carersqld.asn.au/,(07) 3624 1700,823 Example Street,STAFFORD,QLD,4053,-27.411,153.02
Information & Counselling,Financial Counselling & Budgeting,Carers Queensland: Brisbane South Regional Office,The No Interest Loan Scheme (NILS') provides inter,http://www.carersqld.asn.au,(07) 3723 5010,824 Example Street,MT GRAVATT EAST,QLD,4122,-27.537,153.078
Information & Counselling,Financial Counselling & Budgeting,Centrelink Customer Service Centre - Chermside,Centrelink is delivered by the Australian Governme,http://www.humanservices.gov.au/,1800 050 004,825 Example Street,CHERMSIDE,QLD,4032,-27.381,153.03
Information & Counselling,Financial Counselling & Budgeting,Centrelink Customer Service Centre - Fortitude Valley,Centrelink is delivered by the Australian Governme,http://www.humanservices.gov.au/,1300 786 102,826 Example Street,FORTITUDE VALLEY,QLD,4006,-27.454,153.033
Information & Counselling,Financial Counselling & Budgeting,Christians Against Poverty (CAP) - Fairfield,CAP is a charity releasing people from debt and po,http://capaust.org/gethelp.php,1300 227 000,827 Example Street,FAIRFIELD,QLD,4103,-27.509,153.022
Information & Counselling,Financial Counselling & Budgeting,Christians Against Poverty (CAP) - McKenzie,CAP is a charity releasing people from debt and po,http://www.capaust.org,1300 227 000,828 Example Street,FAIRFIELD,QLD,4103,-27.512,153.023
Information & Counselling,Financial Counselling & Budgeting,"Department of Communities, Child Safety and Disability Services - Seniors Card - Brisbane",Issue of Seniors Cards (free) to Queenslanders ove,https://www.qld.gov.au/seniors/legal-finance-concessions/seniors-card/,13 74 68,829 Example Street,BRISBANE,QLD,4000,-27.471,153.023
Information & Counselling,Financial Counselling & Budgeting,Financial Counselling Australia,FCA's role is to support the financial counselling,http://www.financialcounsellingaustralia.org.au/home,1800 007 007,830 Example Street,FORTITUDE VALLEY,QLD,4006,-27.457,153.031
Information & Counselling,Financial Counselling & Budgeting,Gambling Help - Brisbane,Gambling Help services offer a range of profession,,(07) 3423 6955,831 Example Street,EIGHT MILE PLAINS,QLD,4113,-27.577,153.098
Information & Counselling,Financial Counselling & Budgeting,HART4000 - Homelessness Assistance and Referral Team,HART4000We are an assessment and referral team tha,http://www.under1roof.org.au/contact-us/,(07) 3004 0100,832 Example Street,FORTITUDE VALLEY,QLD,4006,-27.454,153.034
Information & Counselling,Financial Counselling & Budgeting,Hope Centre Services,HOPE CENTRE SERVICES,http://www.hopecentreservices.org,(07) 3253 1300,833 Example Street,FORTITUDE VALLEY,QLD,4006,-27.457,153.032
